"","Artist.ID","Band.ID","Band.name"
"1730",-526,334,"Exhorder"
"1766",-549,3540310715,"Sons of Liberty"
"1767",-549,8021,"Purgatory"
"1768",-549,4,"Iced Earth"
"1769",-549,158,"Demons & Wizards"
"1872",-576,22800,"Mucopus"
"1873",-576,16125,"Detriment"
"1874",-576,820,"Skinless"
"1875",-576,79,"Origin"
"1876",-576,3540416656,"Crator"
"1883",-579,126498,"Troglodyte"
"1884",-579,79,"Origin"
"1885",-579,212,"Gorgasm"
"1886",-580,79,"Origin"
"1887",-580,820,"Skinless"
"1888",-580,897,"Angelcorpse"
"1889",-580,1124,"Gorguts"
"1890",-580,5856,"Possession"
"1891",-580,2781,"The Red Chord"
"1892",-580,3179,"Dim Mak"
"1893",-580,18384,"Unmerciful"
"1894",-580,3540416656,"Crator"
"1895",-580,121913,"Malicious Intent"
"1914",-589,14611,"Sol Asunder"
"1915",-589,79,"Origin"
"1916",-589,85301,"Legion Victorious"
"1917",-589,91198,"Ontogeny"
"1934",-597,57625,"Godless Rising"
"1935",-597,79,"Origin"
"1936",-597,910,"Cephalic Carnage"
"1937",-597,2531,"Solstice"
"1990",-611,3540450092,"Malignant Altar"
"1991",-611,3540438000,"Oceans of Slumber"
"1992",-611,3540447967,"Necrofier"
"1993",-611,22123,"Images of Violence"
"1994",-611,2665,"Viral Load"
"1995",-611,2733,"Ingurgitate"
"1996",-611,3600,"Infernal Dominion"
"1997",-611,347,"Sect of Execration"
"1998",-611,19072,"Braced for Nails"
"1999",-611,3540287855,"War Master"
"2000",-611,3540334762,"Demoniacal Genuflection"
"2001",-611,67329,"Insect Warfare"
"2020",-622,326,"Disgorge"
"2021",-622,38227,"Amputated Genitals"
"2022",-622,60495,"Condemned"
"2023",-622,60559,"Cephalotripsy"
"2047",-636,60495,"Condemned"
"2057",-644,3540301943,"Encoffination"
"2058",-644,3540303285,"Scaremaker"
"2059",-644,3540296046,"Black Pentagram Cult"
"2060",-644,3540294092,"Festered"
"2061",-644,3540310978,"Loathsome"
"2062",-644,3540311077,"Tombstones"
"2063",-644,3540314767,"Wooden Stake"
"2064",-644,3540352699,"Ghoulgotha"
"2065",-644,3540290670,"Beyond Hell"
"2066",-644,3540338231,"Ekthros"
"2067",-644,64896,"Decrepitaph"
"2068",-644,3540402673,"Messial"
"2069",-644,3540359463,"Howling"
"2070",-644,3540412604,"Cauldron Burial"
"2071",-644,3540425545,"Gloomed"
"2072",-644,130016,"Skincrawler"
"2073",-644,3540255896,"Foreboding"
"2074",-644,3540256096,"Father Befouled"
"2075",-644,3540264430,"Shrouded"
"2076",-644,21190,"Skulleton"
"2077",-644,2205,"Eternal Suffering"
"2185",-685,3540273324,"Mechanism"
"2186",-685,3540345790,"Brendon Small"
"2187",-685,17701,"Tenet"
"2188",-685,2500,"Daemon"
"2189",-685,1245,"Devin Townsend"
"2190",-685,1196,"Viking"
"2191",-685,1742,"Zimmers Hole"
"2192",-685,374,"Forbidden"
"2193",-685,46,"Strapping Young Lad"
"2194",-685,70,"Testament"
"2195",-685,126,"Dark Angel"
"2196",-685,141,"Death"
"2197",-685,189,"Fear Factory"
"2198",-685,9488,"Wargod"
"2199",-685,6321,"Memorain"
"2200",-685,6565,"Just Cause"
"2201",-685,97749,"Meldrum"
"2202",-685,106461,"Dethklok"
"2203",-685,130084,"Pitch Black Forecast"
"2226",-693,14864,"Guttural Secrete"
"2227",-693,3540383864,"Euphegenia"
"2228",-694,3540383864,"Euphegenia"
"2229",-694,14864,"Guttural Secrete"
"2240",-698,1668,"Geezer"
"2241",-698,189,"Fear Factory"
"2242",-698,59780,"Ministry"
"2254",-701,36000,"BodyBag"
"2255",-701,98320,"Divine Heresy"
"2256",-701,189,"Fear Factory"
"2257",-701,1347,"Brujeria"
"2258",-701,5267,"Asesino"
"2310",-730,5267,"Asesino"
"2311",-730,1347,"Brujeria"
"2312",-730,189,"Fear Factory"
"2313",-730,3104,"Phobia"
"2314",-730,3540286099,"Arkaea"
"2315",-731,3102,"Doomstone"
"2316",-731,2319,"Abominog"
"2317",-731,453,"October 31"
"2318",-731,1392,"Deceased"
"2350",-749,91416,"Dublin Death Patrol"
"2351",-749,3540358820,"Hatriot"
"2352",-749,8022,"Legacy"
"2353",-749,173,"Exodus"
"2354",-749,17701,"Tenet"
"2355",-750,17701,"Tenet"
"2356",-750,11711,"Bizarro"
"2357",-750,7547,"Scorched-Earth Policy"
"2358",-750,70,"Testament"
"2359",-750,374,"Forbidden"
"2360",-750,112400,"Hate FX"
"2361",-750,3540426590,"Earth Crawler"
"2362",-750,35326,"Forbidden Evil"
"2363",-750,3540337307,"LD/50"
"2406",-762,70,"Testament"
"2407",-762,8022,"Legacy"
"2408",-762,91416,"Dublin Death Patrol"
"2409",-762,115577,"Guilt"
"2415",-766,64,"Dragonlord"
"2416",-766,70,"Testament"
"2417",-766,8022,"Legacy"
"2418",-767,8022,"Legacy"
"2419",-767,70,"Testament"
"2420",-767,193,"Savatage"
"2421",-767,1447,"Trans-Siberian Orchestra"
"2422",-767,3540401278,"Metal Allegiance"
"2425",-769,3540415139,"Meshiaak"
"2426",-769,3540436446,"Trinity Fallen"
"2427",-769,8022,"Legacy"
"2428",-769,3365,"HavocHate"
"2429",-769,1549,"Trauma"
"2430",-769,70,"Testament"
"2473",-787,2252,"Konkhra"
"2474",-787,2366,"James Murphy"
"2475",-787,70,"Testament"
"2476",-787,137,"Hallows Eve"
"2477",-787,141,"Death"
"2478",-787,165,"Obituary"
"2479",-787,199,"Disincarnate"
"2481",-793,3540379005,"From Hell"
"2482",-793,3540377312,"One Machine"
"2483",-793,121284,"The Esseness Project"
"2484",-793,44,"Nevermore"
"2485",-793,64,"Dragonlord"
"2486",-793,70,"Testament"
"2487",-793,374,"Forbidden"
"2488",-793,678,"Vicious Rumors"
"2508",-804,3540296713,"Rise of Caligula"
"2509",-804,3540315870,"Deafheaven"
"2515",-808,3540292171,"Futures End"
"2516",-808,3540299757,"Charred Walls of the Damned"
"2517",-808,3540333431,"Anatomy of I"
"2518",-808,3540334904,"Johnny Newman"
"2519",-808,3540341146,"Gone in April"
"2520",-808,3540320347,"Synesis Absorption"
"2521",-808,35363,"Beltfed Weapon"
"2522",-808,3540450760,"Spirits of Fire"
"2523",-808,3540366223,"Mythodea"
"2524",-808,9632,"Faust"
"2525",-808,8608,"Painmuseum"
"2526",-808,4547,"Sebastian Bach"
"2527",-808,6321,"Memorain"
"2528",-808,64,"Dragonlord"
"2529",-808,70,"Testament"
"2530",-808,141,"Death"
"2531",-808,1012,"Sadus"
"2532",-808,1320,"Ephel Duath"
"2533",-808,549,"Control Denied"
"2534",-808,639,"Artension"
"2535",-808,2366,"James Murphy"
"2540",-813,8022,"Legacy"
"2541",-813,70,"Testament"
"2544",-816,5636,"Helmet"
"2545",-816,70,"Testament"
"2546",-816,173,"Exodus"
"2547",-816,850,"White Zombie"
"2548",-816,1209,"Prong"
"2549",-816,3540393672,"Motor Sister"
"2560",-819,70,"Testament"
"2561",-819,1232,"Evildead"
"2562",-819,320,"Impellitteri"
"2563",-819,3365,"HavocHate"
"2564",-819,4578,"Killing Machine"
"2565",-819,3540415139,"Meshiaak"
"2566",-819,3540335339,"Apocalypse"
"2567",-819,71769,"Chaotic Realm"
"2568",-819,44583,"Terror"
"2569",-819,49705,"Temple of Brutality"
"2575",-826,14864,"Guttural Secrete"
"2621",-843,64,"Dragonlord"
"2622",-843,70,"Testament"
"2623",-843,1012,"Sadus"
"2624",-843,3540432626,"Masqued"
"2625",-843,3540292171,"Futures End"
"2940",-940,3540441443,"Systematic Extermination"
"2941",-940,3540370368,"Oppressive Force"
"2942",-940,39434,"Grotesque Formation"
"3029",-971,36765,"The Henchmen"
"3030",-971,1284,"Hellwitch"
"3031",-971,770,"Gorgoroth"
"3032",-971,165,"Obituary"
"3381",-1092,25042,"Asva"
"3382",-1092,10278,"Earth"
"3383",-1093,5523,"ChemiKiller"
"3384",-1093,3578,"Toxic Holocaust"
"3385",-1093,1140,"HellVomit"
"3386",-1093,104724,"Colon Rupture"
"3387",-1093,104750,"Kunt Killer"
"3388",-1093,97780,"War Ripper"
"3389",-1093,78592,"Tiger Junkies"
"3390",-1093,3540358323,"Joel Grind"
"3574",-1167,3540278207,"Seaweed"
"3575",-1167,4280,"Master"
"3576",-1167,10853,"Portal"
"3577",-1167,91,"Cynic"
"3578",-1167,141,"Death"
"3591",-1170,27789,"Anomaly"
"3592",-1170,10853,"Portal"
"3593",-1170,91,"Cynic"
"3594",-1170,141,"Death"
"3595",-1170,530,"Aghora"
"3596",-1170,3540278207,"Seaweed"
"3597",-1170,3540305545,"Levi / Werstler"
"3598",-1170,103671,"C-187"
"3606",-1176,148,"Deicide"
"3607",-1176,720,"Vital Remains"
"3608",-1176,19625,"Amon"
"3609",-1177,20174,"Beyond Death"
"3610",-1177,1067,"Six Feet Under"
"3611",-1177,148,"Deicide"
"3612",-1177,186,"Cannibal Corpse"
"3613",-1177,3540300196,"Grave Descent"
"3624",-1182,148,"Deicide"
"3625",-1182,165,"Obituary"
"3626",-1182,1293,"Toxik"
"3627",-1182,4547,"Sebastian Bach"
"3628",-1182,6321,"Memorain"
"3629",-1182,3114,"Millenium"
"3630",-1182,113173,"Hollow"
"3634",-1187,3013,"Council of the Fallen"
"3635",-1187,19625,"Amon"
"3636",-1187,148,"Deicide"
"3637",-1187,3540265080,"Order of Ennead"
"3638",-1187,3540303041,"Evil Amidst"
"3650",-1196,91,"Cynic"
"3651",-1196,10853,"Portal"
"3652",-1197,19625,"Amon"
"3653",-1197,148,"Deicide"
"3660",-1199,19625,"Amon"
"3661",-1199,148,"Deicide"
"3677",-1204,2531,"Solstice"
"3678",-1204,91,"Cynic"
"3679",-1204,175,"Malevolent Creation"
"3680",-1204,893,"Monstrosity"
"3711",-1215,23009,"Wolves Under Azurean Midnight"
"3712",-1215,720,"Vital Remains"
"3713",-1215,3540287886,"Faust"
